ID,Title,Released,Class of Spike-Binding Protein,Ab/Nb,Chains (If Cocktail),Model Name,Resolution,Cocktail (2+ Different Ab/Nb/Sb),Domain Target on Spike,DOI
7L7E,Crystal structure of SARS-CoV-2 spike RBD in complex with human monoclonal antibodies AZD8895 and AZD1061,2021-09-01,Antibody,AZD1061,"C,D,E,F,M,N,O,P",7L7E_1;7L7E_4;7L7E_6;7L7E_8,3,Yes,RBD,
7LAA,Structure of SARS-CoV-2 S protein in complex with Receptor Binding Domain antibody DH1041,2021-03-17,Antibody,DH1041,,7LAA_1,3.42,No,RBD,10.1016/j.cell.2021.06.021
7LAB,Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1052,2021-03-10,Antibody,DH1052,,7LAB_1;7LAB_2;7LAB_3,"2.97, 2.97",No,NTD,10.1016/j.cell.2021.06.021
7LCN,Structure of SARS-CoV-2 S protein in complex with N-terminal domain antibody DH1050.1,2021-01-27,Antibody,DH1050.1,,7LCN_1;7LCN_2;7LCN_3,"3.35, 3.35",No,NTD,10.1016/j.cell.2021.06.021
7LD1,Structure of SARS-CoV-2 S protein in complex with Receptor Binding Domain antibody DH1047,2021-01-27,Antibody,DH1047,,7LD1_1;7LD1_2;7LD1_3,"3.4, 3.4",No,RBD,10.1016/j.cell.2021.06.021
7LDJ,SARS-CoV-2 receptor binding domain in complex with WNb-2,2021-05-05,Nanobody/Sybody,WNb-2,,,2.36,No,RBD,
7LJR,SARS-CoV-2 Spike Protein Trimer bound to DH1043 fab,2021-03-31,Antibody,DH1043,,7LJR_1,3.66,No,,10.1101/2020.12.31.424729
7LM8,Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with two cross-neutralizing antibodies CV38-142 and COVA1-16 Fabs isolated from COVID-19 patients,2021-03-31,Antibody,CV38-142,"M,N",7LM8_2,1.936,Yes,RBD,10.1101/2021.02.11.430866
7LM8,Crystal structure of SARS-CoV-2 spike protein receptor-binding domain in complex with two cross-neutralizing antibodies CV38-142 and COVA1-16 Fabs isolated from COVID-19 patients,2021-03-31,Antibody,COVA1-16,"H,L",7LM8_1,1.936,Yes,RBD,10.1101/2021.02.11.430866
7LOP,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV05-163 and CR3022,2021-03-03,Antibody,CV05-163,"H,L,X,Y",7LOP_2;7LOP_4,2.246,Yes,RBD,10.1126/science.abh1139
7LOP,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV05-163 and CR3022,2021-03-03,Antibody,CR3022,"B,C,W,V",7LOP_1;7LOP_3,2.246,Yes,RBD,10.1126/science.abh1139
7LQ7,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16,2021-09-15,Antibody,CV503,"C,D,F,G,H,L",7LQ7_1;7LQ7_4;7LQ7_6,3.4,Yes,RBD,
7LQ7,Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16,2021-09-15,Antibody,COVA1-16,"P,Q,T,U,y,z",7LQ7_2;7LQ7_3;7LQ7_5,3.4,Yes,RBD,
7LQV,Cryo-EM structure of NTD-directed neutralizing antibody 4-8 Fab in complex with SARS-CoV-2 S2P spike,2021-03-24,Antibody,4-8,,7LQV_1;7LQV_2;7LQV_3,3.25,No,NTD,
7LQW,Cryo-EM structure of NTD-directed neutralizing antibody 2-17 Fab in complex with SARS-CoV-2 S2P spike,2021-03-24,Antibody,2-17,,7LQW_1,4.47,No,NTD,10.1016/j.chom.2021.03.005
7LRS,Cryo-EM structure of SARS-CoV-2 spike in complex with neutralizing antibody A23-58.1 that targets the receptor-binding domain,2021-07-14,Antibody,A23-58.1,,7LRS_1,3.89,No,RBD,10.1126/science.abh1766
7LRT,Cryo-EM structure of SARS-CoV-2 spike in complex with neutralizing antibody A23-58.1 that targets the receptor-binding domain,2021-07-14,Antibody,A23-58.1,,7LRT_1;7LRT_2;7LRT_3,3.54,No,RBD,10.1126/science.abh1766
7LS9,Cryo-EM structure of neutralizing antibody 1-57 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-03-17,Antibody,1-57,,7LS9_1;7LS9_2;7LS9_3,3.42,No,,10.1016/j.str.2021.05.014
7LSS,Cryo-EM structure of the SARS-CoV-2 spike glycoprotein bound to Fab 2-7,2021-03-17,Antibody,2-7,,7LSS_1,3.72,No,,10.1016/j.str.2021.05.014
7LX5,The SARS-CoV-2 spike protein receptor binding domain bound to neutralizing nanobodies WNb 2 and WNb 10,2021-05-05,Nanobody/Sybody,WNb 2,C,,3.44,Yes,RBD,10.1073/pnas.2101918118
7LX5,The SARS-CoV-2 spike protein receptor binding domain bound to neutralizing nanobodies WNb 2 and WNb 10,2021-05-05,Nanobody/Sybody,WNb 10,A,,3.44,Yes,RBD,10.1073/pnas.2101918118
7LXW,SARS-CoV-2 S/S2M11/S2X333 Local Refinement,2021-04-14,Antibody,S2X333,,7LXW_1,"2.8, 2.8",No,,10.1016/j.cell.2021.03.028
7LXX,SARS-CoV-2 S/S2M11/S2L28 Local Refinement,2021-04-14,Antibody,S2L28,,7LXX_1,3,No,,10.1016/j.cell.2021.03.028
7LXY,SARS-CoV-2 S/S2M11/S2X333 Global Refinement,2021-04-14,Antibody,S2M11,"C,D,E,F,K,M",7LXY_1;7LXY_3;7LXY_6,2.2,Yes,,10.1016/j.cell.2021.03.028
7LXY,SARS-CoV-2 S/S2M11/S2X333 Global Refinement,2021-04-14,Antibody,S2X333,"G,H,I,L,N,O",7LXY_2;7LXY_4;7LXY_5,2.2,Yes,,10.1016/j.cell.2021.03.028
7LXZ,SARS-CoV-2 S/S2M11/S2L28 Global Refinement,2021-04-14,Antibody,S2M11,"C,D,E,F,L,M",7LXZ_2;7LXZ_4;7LXZ_6,2.6,Yes,,10.1016/j.cell.2021.03.028
7LXZ,SARS-CoV-2 S/S2M11/S2L28 Global Refinement,2021-04-14,Antibody,S2L28,"G,H,I,J,N,O",7LXZ_1;7LXZ_3;7LXZ_5,2.6,Yes,,10.1016/j.cell.2021.03.028
7LY0,SARS-CoV-2 S/S2M11/S2M28 Local Refinement,2021-04-14,Antibody,S2M28,,7LY0_1,2.6,No,,10.1016/j.cell.2021.03.028
7LY2,SARS-CoV-2 S/S2M11/S2M28 Global Refinement,2021-04-14,Antibody,S2M11,"C,D,E,F,K,M",7LY2_2;7LY2_3;7LY2_6,2.5,Yes,,10.1016/j.cell.2021.03.028
7LY2,SARS-CoV-2 S/S2M11/S2M28 Global Refinement,2021-04-14,Antibody,S2M28,"G,H,I,L,N,O",7LY2_1;7LY2_4;7LY2_5,2.5,Yes,,10.1016/j.cell.2021.03.028
7LY3,Crystal structure of SARS-CoV-2 S NTD bound to S2M28 Fab,2021-04-14,Antibody,S2M28,,7LY3_1;7LY3_2,3,No,NTD,10.1016/j.cell.2021.03.028
7M3I,"Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a neutralizing antibody, CV2-75 Fab",2021-05-12,Antibody,CV2-75,,7M3I_1;7M3I_2,2.8,No,RBD,10.1016/j.celrep.2021.109353
7M42,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of neutralizing antibodies REGN10985 and REGN10989,2021-07-28,Antibody,REGN10989,"A,B",7M42_2,3.3,Yes,RBD,10.1016/j.cell.2021.06.002
7M42,Complex of SARS-CoV-2 receptor binding domain with the Fab fragments of neutralizing antibodies REGN10985 and REGN10989,2021-07-28,Antibody,REGN10985,"C,D",7M42_1,3.3,Yes,RBD,10.1016/j.cell.2021.06.002
7M53,B6 Fab fragment bound to the SARS-CoV/SARS-CoV-2 spike stem helix peptide,2021-05-26,Antibody,B6,,,1.4,No,,10.1038/s41594-021-00596-4
7M6D,Structure of the SARS-CoV-2 RBD in complex with neutralizing antibodies BG4-25 and CR3022,2021-05-05,Antibody,BG4-25,"H,L",7M6D_2,3.1,Yes,RBD,10.1016/j.cell.2021.04.032
7M6D,Structure of the SARS-CoV-2 RBD in complex with neutralizing antibodies BG4-25 and CR3022,2021-05-05,Antibody,CR3022,"A,B",7M6D_1,3.1,Yes,RBD,10.1016/j.cell.2021.04.032
7M6E,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, BG10-19",2021-05-05,Antibody,BG10-19,,7M6E_1;7M6E_2;7M6E_3,3.3,No,,10.1016/j.cell.2021.04.032
7M6F,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, BG1-22",2021-05-05,Antibody,BG1-22,,7M6F_1;7M6F_2,3.9,No,,10.1016/j.cell.2021.04.032
7M6G,"Structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment, BG7-15",2021-05-05,Antibody,BG7-15,,7M6G_1;7M6G_2,3.7,No,,10.1016/j.cell.2021.04.032
7M6H,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, BG7-20",2021-05-05,Antibody,BG7-20,,7M6H_1;7M6H_2,4,No,,10.1016/j.cell.2021.04.032
7M6I,"Structure of the SARS-CoV-2 S 2P trimer in complex with the human neutralizing antibody Fab fragment, BG1-24",2021-05-05,Antibody,BG1-24,,7M6I_1;7M6I_2,4,No,,10.1016/j.cell.2021.04.032
7M71,SARS-CoV-2 Spike:5A6 Fab complex I focused refinement,2021-05-26,Antibody,5A6,,7M71_1,2.66,No,,10.1016/j.cell.2021.04.033
7M7B,SARS-CoV-2 Spike:Fab 3D11 complex focused refinement,2021-05-26,Antibody,3D11,,7M7B_1,2.95,No,,10.1016/j.cell.2021.04.033
7M7W,Antibodies to the SARS-CoV-2 receptor-binding domain that maximize breadth and resistance to viral escape,2021-05-05,Antibody,S2X259,"A,B,H,L",7M7W_2;7M7W_4,2.65,Yes,RBD,10.1038/s41586-021-03807-6
7M7W,Antibodies to the SARS-CoV-2 receptor-binding domain that maximize breadth and resistance to viral escape,2021-05-05,Antibody,S2H97,"C,D,E,F",7M7W_1;7M7W_3,2.65,Yes,RBD,10.1038/s41586-021-03807-6
7M8J,SARS-CoV-2 S-NTD + Fab CM25,2021-05-19,Antibody,CM25,,7M8J_1,3.48,No,NTD,10.1126/science.abg5268
7MDW,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb21 and Nb105,2021-08-11,Nanobody/Sybody,Nb21,A,,3.58,Yes,RBD,
7MDW,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb21 and Nb105,2021-08-11,Nanobody/Sybody,Nb105,B,,3.58,Yes,RBD,
7ME7,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb17 and Nb105,2021-08-11,Nanobody/Sybody,Nb17,A,,3.73,Yes,RBD,
7ME7,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb17 and Nb105,2021-08-11,Nanobody/Sybody,Nb105,B,,3.73,Yes,RBD,
7MEJ,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb21 and Nb36,2021-08-11,Nanobody/Sybody,Nb21,A,,3.55,Yes,RBD,
7MEJ,CryoEM structure of SARS-CoV-2 RBD in complex with nanobodies Nb21 and Nb36,2021-08-11,Nanobody/Sybody,Nb36,B,,3.55,Yes,RBD,
7MF1,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing antibody 47D1,2021-05-12,Antibody,47D1,,7MF1_1,2.092,No,RBD,10.1016/j.celrep.2021.109109
7MFU,Crystal structure of synthetic nanobody (Sb14+Sb68) complexes with SARS-CoV-2 receptor binding domain,2021-06-02,Nanobody/Sybody,Sb14,"B,E",,1.7,Yes,RBD,10.1016/j.jbc.2021.101202
7MFU,Crystal structure of synthetic nanobody (Sb14+Sb68) complexes with SARS-CoV-2 receptor binding domain,2021-06-02,Nanobody/Sybody,Sb68,"C,F",,1.7,Yes,RBD,10.1016/j.jbc.2021.101202
7MJH,Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to VH ab8,2021-05-12,Antibody,VH ab8,,,2.66,No,,10.1371/journal.pbio.3001237
7MJI,Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to VH ab8 (focused refinement of RBD and VH ab8),2021-05-12,Antibody,VH ab8,,,2.81,No,,10.1371/journal.pbio.3001237
7MJJ,Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to Fab ab1 (class 1),2021-05-12,Antibody,ab1,,7MJJ_1;7MJJ_2,3.32,No,,10.1371/journal.pbio.3001237
7MJK,Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to Fab ab1 (class 2),2021-05-12,Antibody,ab1,,7MJK_1;7MJK_2;7MJK_3,2.73,No,,10.1371/journal.pbio.3001237
7MJL,Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to Fab ab1 (focused refinement of RBD and Fab ab1),2021-05-12,Antibody,ab1,,7MJL_1,2.95,No,,10.1371/journal.pbio.3001237
7MKL,SARS-CoV-2 Spike in complex with neutralizing Fab SARS2-38 (three down conformation),2021-05-12,Antibody,SARS2-38,,7MKL_1,3.2,No,,10.1016/j.immuni.2021.08.016
7MKM,SARS-CoV-2 Spike RBD in complex with neutralizing Fab SARS2-38 (local refinement),2021-05-12,Antibody,SARS2-38,,7MKM_1,3.16,No,RBD,10.1016/j.immuni.2021.08.016
7MLZ,Cryo-EM structure of SARS-CoV-2 spike in complex with neutralizing antibody B1-182.1 that targets the receptor-binding domain,2021-07-28,Antibody,B1-182.1,,7MLZ_1,3.71,No,RBD,10.1126/science.abh1766
7MM0,Cryo-EM structure of SARS-CoV-2 spike in complex with neutralizing antibody B1-182.1 that targets the receptor-binding domain,2021-07-28,Antibody,B1-182.1,,7MM0_1,3.15,No,RBD,10.1126/science.abh1766
7MMO,LY-CoV1404 neutralizing antibody against SARS-CoV-2,2021-05-12,Antibody,LY-CoV1404,,7MMO_1;7MMO_2,2.427,No,,10.1101/2021.04.30.442182
7MY2,CryoEM structure of neutralizing nanobody Nb30 in complex with SARS-CoV2 spike,2021-06-16,Nanobody/Sybody,Nb30,,,2.65,No,,10.1038/s41586-021-03676-z
7MY3,CryoEM structure of neutralizing nanobody Nb12 in complex with SARS-CoV2 spike,2021-06-16,Nanobody/Sybody,Nb12,,,2.9,No,,10.1038/s41586-021-03676-z
7MZF,SARS-CoV-2 receptor binding domain bound to Fab PDI 37,2021-10-06,Antibody,PDI 37,,7MZF_1,2.493,No,RBD,10.1016/j.celrep.2021.109822
7MZG,SARS-CoV-2 receptor binding domain bound to Fab PDI 42,2021-10-06,Antibody,PDI 42,,7MZG_1,2,No,RBD,10.1016/j.celrep.2021.109822
7MZH,SARS-CoV-2 receptor binding domain bound to Fab WCSL 119,2021-10-06,Antibody,WCSL 119,,7MZH_1;7MZH_2,2.1,No,RBD,10.1016/j.celrep.2021.109822
7MZI,SARS-CoV-2 receptor binding domain bound to Fab WCSL 129,2021-10-06,Antibody,WCSL 129,,7MZI_1,1.85,No,RBD,10.1016/j.celrep.2021.109822
7MZJ,SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93,2021-10-06,Antibody,WCSL 129,"C,D,E,F",7MZJ_1;7MZJ_3,2.4,Yes,RBD,10.1016/j.celrep.2021.109822
7MZJ,SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 93,2021-10-06,Antibody,PDI 93,"H,L,M,N",7MZJ_2;7MZJ_4,2.4,Yes,RBD,10.1016/j.celrep.2021.109822
7MZK,SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96,2021-10-06,Antibody,WCSL 129,"C,D,E,F",7MZK_2;7MZK_3,2.25,Yes,RBD,10.1016/j.celrep.2021.109822
7MZK,SARS-CoV-2 receptor binding domain bound to Fab WCSL 129 and Fab PDI 96,2021-10-06,Antibody,PDI 96,"H,L,M,N",7MZK_1;7MZK_4,2.25,Yes,RBD,10.1016/j.celrep.2021.109822
7MZL,SARS-CoV-2 receptor binding domain bound to Fab PDI 210,2021-10-06,Antibody,PDI 210,,7MZL_1,3.7,No,RBD,10.1016/j.celrep.2021.109822
7MZM,SARS-CoV-2 receptor binding domain bound to Fab PDI 215,2021-10-06,Antibody,PDI 215,,7MZM_1,2.3,No,RBD,10.1016/j.celrep.2021.109822
7MZN,SARS-CoV-2 receptor binding domain bound to Fab PDI 231,2021-10-06,Antibody,PDI 231,,7MZN_1,3.1,No,RBD,10.1016/j.celrep.2021.109822
7N0G,"CryoEm structure of SARS-CoV-2 spike protein (S-6P, 1-up) in complex with sybodies (Sb45)",2021-06-02,Nanobody/Sybody,Sb45,,,3.02,No,,10.1016/j.jbc.2021.101202
7N0H,"CryoEM structure of SARS-CoV-2 spike protein (S-6P, 2-up) in complex with sybodies (Sb45)",2021-06-02,Nanobody/Sybody,Sb45,,,3.34,No,,10.1016/j.jbc.2021.101202
7N3I,Crystal structure of the SARS-CoV-2 receptor binding domain in complex with the human neutralizing antibody Fab fragment C098,2021-08-04,Antibody,C098,,7N3I_1,2.03,No,RBD,10.1016/j.immuni.2021.07.008
7N4I,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing human antibody WRAIR-2057.,2021-10-06,Antibody,WRAIR-2057,,7N4I_1,2.284,No,RBD,10.1038/s41590-021-01068-z
7N4J,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing human antibody WRAIR-2173.,2021-10-06,Antibody,WRAIR-2173,,7N4J_1,2.207,No,RBD,10.1038/s41590-021-01068-z
7N4L,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing human antibody WRAIR-2125.,2021-11-10,Antibody,WRAIR-2125,,7N4L_1,3.601,No,RBD,10.1038/s41590-021-01068-z
7N4M,Crystal structure of SARS-CoV-2 receptor binding domain in complex with neutralizing human antibody WRAIR-2151.,2021-11-10,Antibody,WRAIR-2151,,7N4M_1,3.79,No,RBD,10.1038/s41590-021-01068-z
7N5H,Cryo-EM structure of broadly neutralizing antibody 2-36 in complex with prefusion SARS-CoV-2 spike glycoprotein,2021-11-03,Antibody,2-36,,7N5H_1;7N5H_2;7N5H_3,3.24,No,,10.1101/2021.10.13.464307
7N62,SARS-CoV-2 Spike (2P) in complex with C12C9 Fab (NTD local reconstruction),2021-08-04,Antibody,C12C9,,7N62_1,4,No,,10.1101/2021.03.10.434840
7N64,SARS-CoV-2 Spike (2P) in complex with G32R7 Fab (RBD and NTD local reconstruction),2021-08-04,Antibody,G32R7,,7N64_1,4.2,No,,10.1101/2021.03.10.434840
7N8H,SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement,2021-07-14,Antibody,S2M11,"D,E,G,H,L,M",7N8H_1;7N8H_4;7N8H_6,2.3,Yes,,10.1126/science.abi7994
7N8H,SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 Global Refinement,2021-07-14,Antibody,S2L20,"B,C,I,J,N,O",7N8H_2;7N8H_3;7N8H_5,2.3,Yes,,10.1126/science.abi7994
7N8I,SARS-CoV-2 S (B.1.429 / epsilon variant) + S2M11 + S2L20 (Local Refinement of the NTD/S2L20),2021-07-14,Antibody,S2L20,,7N8I_1,3,No,,10.1126/science.abi7994
7N9A,Potent neutralizing nanobodies resist convergent circulating variants of SARS-CoV-2 by targeting novel and conserved epitopes-CovS RBD with NB21,2021-08-04,Nanobody/Sybody,Nb21,,,3.5,No,RBD,
7N9B,Potent neutralizing nanobodies resist convergent circulating variants of SARS-CoV-2 by targeting novel and conserved epitopes-CovS with NB21,2021-08-04,Nanobody/Sybody,Nb21,,,3.8,No,,
7N9C,Potent neutralizing nanobodies resist convergent circulating variants of SARS-CoV-2 by targeting novel and conserved epitopes-CovS with NB95,2021-08-04,Nanobody/Sybody,Nb95,,,3.71,No,,
7N9E,Potent neutralizing nanobodies resist convergent circulating variants of SARS-CoV-2 by targeting novel and conserved epitopes-CovS with NB34,2021-08-04,Nanobody/Sybody,Nb34,,,3.52,No,,
7N9T,CryoEM structure of SARS-CoV-2 Spike in complex with Nb17,2021-08-11,Nanobody/Sybody,Nb17,,,3.18,No,,
7ND3,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-40 Fab,2021-03-03,Antibody,COVOX-40,,7ND3_1,3.7,No,,10.1016/j.cell.2021.02.032
7ND4,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-88 Fab,2021-03-03,Antibody,COVOX-88,,7ND4_1;7ND4_2;7ND4_3,3.6,No,,10.1016/j.cell.2021.02.032
7ND5,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-150 Fab,2021-03-03,Antibody,COVOX-150,,7ND5_1,3.4,No,,10.1016/j.cell.2021.02.032
7ND6,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-40 Fab,2021-03-03,Antibody,COVOX-40,,7ND6_1,7.3,No,,10.1016/j.cell.2021.02.032
7ND7,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-316 Fab,2021-03-03,Antibody,COVOX-316,,7ND7_1;7ND7_2;7ND7_3,3.6,No,,10.1016/j.cell.2021.02.032
7ND8,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-384 Fab,2021-03-03,Antibody,COVOX-384,,7ND8_1,3.5,No,,10.1016/j.cell.2021.02.032
7NDB,EM structure of SARS-CoV-2 Spike glycoprotein in complex with COVOX-253H165L Fab,2021-03-03,Antibody,COVOX-253H165L,,7NDB_1,4.6,No,,10.1016/j.cell.2021.02.032
7NDC,EM structure of SARS-CoV-2 Spike glycoprotein (all RBD down) in complex with COVOX-159,2021-03-03,Antibody,COVOX-159,,7NDC_1;7NDC_2;7NDC_3,4.1,No,,10.1016/j.cell.2021.02.032
7NDD,EM structure of SARS-CoV-2 Spike glycoprotein (one RBD up) in complex with COVOX-159,2021-03-03,Antibody,COVOX-159,,7NDD_1;7NDD_2;7NDD_3,4.2,No,,10.1016/j.cell.2021.02.032
7NEG,Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 Fab,2021-03-03,Antibody,COVOX-269,,7NEG_1,2.19,No,,10.1016/j.cell.2021.02.033
7NEH,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-269 Fab,2021-03-03,Antibody,COVOX-269,,7NEH_1,1.77,No,,10.1016/j.cell.2021.02.033
7NKT,RBD domain of SARS-CoV2 in complex with neutralizing nanobody NM1226,2021-05-12,Nanobody/Sybody,NM1226,,,2.3,No,RBD,10.15252/embr.202052325
7NP1,Crystal Structure of the SARS-CoV-2 Receptor Binding Domain in Complex with Antibody ION-360,2021-11-17,Antibody,ION-360,,7NP1_1;7NP1_2;7NP1_3;7NP1_4,2.8,No,RBD,10.3389/fimmu.2021.678570
7NTC,Trimeric SARS-CoV-2 spike ectodomain bound to P008_056 Fab,2021-04-28,Antibody,P008_056,,7NTC_1,3.6,No,,10.1126/sciadv.abg7607
7NX6,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NX6_2,2.25,Yes,RBD,10.1016/j.cell.2021.03.055
7NX6,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NX6_1,2.25,Yes,RBD,10.1016/j.cell.2021.03.055
7NX7,Crystal structure of the K417N mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NX7_2,2.3,Yes,RBD,10.1016/j.cell.2021.03.055
7NX7,Crystal structure of the K417N mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NX7_1,2.3,Yes,RBD,10.1016/j.cell.2021.03.055
7NX8,Crystal structure of the K417T mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NX8_2,1.95,Yes,RBD,10.1016/j.cell.2021.03.055
7NX8,Crystal structure of the K417T mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NX8_1,1.95,Yes,RBD,10.1016/j.cell.2021.03.055
7NX9,Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NX9_1,2.4,Yes,RBD,10.1016/j.cell.2021.03.055
7NX9,Crystal structure of the N501Y mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NX9_2,2.4,Yes,RBD,10.1016/j.cell.2021.03.055
7NXA,Crystal structure of the receptor binding domain of SARS-CoV-2 B.1.351 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NXA_1,2.5,Yes,RBD,10.1016/j.cell.2021.03.055
7NXA,Crystal structure of the receptor binding domain of SARS-CoV-2 B.1.351 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NXA_2,2.5,Yes,RBD,10.1016/j.cell.2021.03.055
7NXB,Crystal structure of the receptor binding domain of SARS-CoV-2 P.1 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,COVOX-222,"A,B",7NXB_1,2.67,Yes,RBD,10.1016/j.cell.2021.03.055
7NXB,Crystal structure of the receptor binding domain of SARS-CoV-2 P.1 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs,2021-04-07,Antibody,EY6A,"H,L",7NXB_2,2.67,Yes,RBD,10.1016/j.cell.2021.03.055
7OAN,Nanobody C5 bound to Spike,2021-08-11,Nanobody/Sybody,C5,,,"3, 3",No,,10.1038/s41467-021-25480-z
7OAO,Nanobody C5 bound to RBD,2021-08-11,Nanobody/Sybody,C5,,,1.5,No,RBD,10.1038/s41467-021-25480-z
7OAP,Nanobody H3 AND C1 bound to RBD,2021-08-11,Nanobody/Sybody,H3,FFF,,1.901,Yes,RBD,10.1038/s41467-021-25480-z
7OAP,Nanobody H3 AND C1 bound to RBD,2021-08-11,Nanobody/Sybody,C1,AAA,,1.901,Yes,RBD,10.1038/s41467-021-25480-z
7OAQ,Nanobody H3 AND C1 bound to RBD with Kent mutation,2021-08-11,Nanobody/Sybody,H3,,,1.55,No,RBD,10.1038/s41467-021-25480-z
7OAU,Nanobody C5 bound to Kent variant RBD (N501Y),2021-08-11,Nanobody/Sybody,C5,,,1.65,No,RBD,10.1038/s41467-021-25480-z
7OAY,Nanobody F2 bound to RBD,2021-08-11,Nanobody/Sybody,F2,,,2.34,No,RBD,10.1038/s41467-021-25480-z
7OLZ,Crystal structure of the SARS-CoV-2 RBD with neutralizing-VHHs Re5D06 and Re9F06,2021-08-11,Nanobody/Sybody,Re5D06,C,,1.75,Yes,RBD,10.15252/embj.2021107985
7OLZ,Crystal structure of the SARS-CoV-2 RBD with neutralizing-VHHs Re5D06 and Re9F06,2021-08-11,Nanobody/Sybody,Re9F06,B,,1.75,Yes,RBD,10.15252/embj.2021107985
7OR9,Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and COVOX-278 Fabs,2021-07-07,Antibody,COVOX-222,"A,B",7OR9_2,2.34,Yes,RBD,10.1016/j.cell.2021.06.020
